cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;p1;p2;p3;p4;p5;p6;mojo;evals;tempo
6;JPassword 96C.odem;96;0.5;0.5;0.5;-2.0;-0.5;0.0;6;6;6;1;4;5;95.51;3001;1394573 ms
2;xmldom 119C.odem;119;2.0;0.0;1.0;-2.5;1.5;2.5;9;5;7;0;8;10;96.46;3006;2587618 ms
1;xmldom 119C.odem;119;1.0;0.0;-1.0;2.0;1.0;2.5;7;5;3;9;7;10;97.35;3001;2604026 ms
0;xmldom 119C.odem;119;-1.5;-1.0;0.0;0.5;-1.5;-2.0;2;3;5;6;2;1;97.35;3004;2618396 ms
4;xmldom 119C.odem;119;2.0;1.0;0.5;-2.0;2.5;1.5;9;7;6;1;10;8;96.46;3000;2625774 ms
7;JPassword 96C.odem;96;-1.0;2.5;0.5;-2.0;-2.0;0.0;3;10;6;1;1;5;95.51;3001;1324044 ms
9;JPassword 96C.odem;96;0.0;1.5;0.0;-1.0;-1.0;-1.5;5;8;5;3;3;2;95.51;3005;1313117 ms
8;JPassword 96C.odem;96;2.0;2.0;0.0;-1.5;-0.5;0.0;9;9;5;2;4;5;95.51;3003;1328474 ms
6;xmldom 119C.odem;119;2.0;0.0;-2.5;2.5;1.0;1.0;9;5;0;10;7;7;100.0;580;437179 ms
0;jdendogram 177C.odem;177;1.5;-2.0;-2.5;2.0;2.0;0.5;8;1;0;9;9;6;100.0;997;3041655 ms
2;jkaryoscope 136C.odem;136;1.5;0.0;0.5;2.0;0.5;0.5;8;5;6;9;6;6;100.0;2332;3170617 ms
7;xmldom 119C.odem;119;1.0;0.5;0.0;2.0;1.0;-1.0;7;6;5;9;7;3;100.0;761;572192 ms
6;junit-3.8.1 100C.odem;100;1.5;-2.0;1.5;2.5;1.0;1.5;8;1;8;10;7;8;94.68;3001;1444413 ms
5;junit-3.8.1 100C.odem;100;0.5;0.0;0.5;2.5;1.5;2.5;6;5;6;10;8;10;94.68;3003;1449845 ms
7;junit-3.8.1 100C.odem;100;-2.0;0.0;-0.5;-2.5;-2.0;-0.5;1;5;4;0;1;4;93.68;3003;1440116 ms
8;junit-3.8.1 100C.odem;100;2.5;-2.5;2.0;1.5;1.0;1.5;10;0;9;8;7;8;94.68;3001;1441135 ms
9;junit-3.8.1 100C.odem;100;1.5;-0.5;2.0;0.5;2.5;2.0;8;4;9;6;10;9;95.74;3003;1441818 ms
5;xmldom 119C.odem;119;2.5;0.5;-2.0;2.5;1.0;2.0;10;6;1;10;7;9;97.35;3005;2337702 ms
3;jdendogram 177C.odem;177;-2.5;-0.5;0.0;-2.5;-2.0;0.0;0;4;5;0;1;5;100.0;1154;3390361 ms
4;notepad-full 299C.odem;299;1.0;0.0;1.0;2.0;0.5;0.5;7;5;7;9;6;6;100.0;254;3538451 ms
0;tinytim 134C.odem;134;2.0;-0.5;2.0;2.0;0.5;0.0;9;4;9;9;6;5;100.0;2818;3580814 ms
4;gae_plugin_core 140C.odem;140;-1.5;-1.5;-1.0;-1.0;-1.0;0.5;2;2;3;3;3;6;100.0;2528;3581624 ms
4;tinytim 134C.odem;134;-0.5;-1.0;-0.5;-1.5;-1.5;-0.5;4;3;4;2;2;4;90.4;3004;3749399 ms
3;tinytim 134C.odem;134;-1.0;-1.5;0.5;-2.5;-2.0;-2.5;3;2;6;0;1;0;86.51;3001;3771865 ms
2;tinytim 134C.odem;134;-2.5;0.5;1.0;-2.0;-2.0;1.5;0;6;7;1;1;8;82.93;3000;3779336 ms
1;tinytim 134C.odem;134;-1.5;-2.5;2.0;2.0;1.5;-1.0;2;0;9;9;8;3;88.89;3003;3796075 ms
5;tinytim 134C.odem;134;1.5;0.0;0.0;1.0;0.5;-0.5;8;5;5;7;6;4;100.0;303;322582 ms
4;jkaryoscope 136C.odem;136;-2.0;0.5;1.0;1.0;2.5;2.5;1;6;7;7;10;10;90.15;3004;3918071 ms
3;jkaryoscope 136C.odem;136;-2.0;0.5;-2.0;-2.5;-2.0;2.0;1;6;1;0;1;9;90.08;3004;3944614 ms
0;jkaryoscope 136C.odem;136;1.5;-1.0;1.5;2.5;1.0;-0.5;8;3;8;10;7;4;91.2;3003;3947049 ms
1;jkaryoscope 136C.odem;136;-0.5;-0.5;0.0;-1.5;-2.0;1.5;4;4;5;2;1;8;90.77;3005;3953683 ms
3;gae_plugin_core 140C.odem;140;1.0;-2.0;1.5;2.5;1.0;0.5;7;1;8;10;7;6;97.06;3000;4084029 ms
1;gae_plugin_core 140C.odem;140;1.0;-1.5;1.5;1.5;1.0;1.5;7;2;8;8;7;8;96.35;3000;4102000 ms
0;gae_plugin_core 140C.odem;140;2.0;-1.0;1.0;1.0;1.0;1.0;9;3;7;7;7;7;97.04;3001;4153695 ms
2;gae_plugin_core 140C.odem;140;2.0;-2.0;0.5;1.5;0.5;1.5;9;1;6;8;6;8;97.78;3001;4159714 ms
8;xmldom 119C.odem;119;2.5;1.0;-1.5;-1.5;1.5;1.0;10;7;2;2;8;7;96.46;3002;2120158 ms
9;xmldom 119C.odem;119;-1.5;0.0;0.0;2.0;-1.5;-2.5;2;5;5;9;2;0;91.96;3002;2131367 ms
