cycle;instance;nclasses;n1;n2;n3;n4;n5;n6;n7;n8;p1;p2;p3;p4;p5;p6;p7;p8;mojo;evals;tempo
9;udt-java 56C.odem;56;1.5;-1.0;-0.5;0.0;-0.5;2.5;0.5;0.0;8; 3; 4; 5; 4; 10; 6; 5;81.63;4009;550994 ms
3;jscatterplot 74C.odem;74;1.0;1.0;1.5;0.5;-0.5;2.0;0.5;0.5;7; 7; 8; 6; 4; 9; 6; 6;98.61;4008;1231362 ms
4;jscatterplot 74C.odem;74;1.5;-0.5;-2.5;-2.0;1.0;-2.5;-1.5;-1.5;8; 4; 0; 1; 7; 0; 2; 2;98.61;4002;1231913 ms
1;jscatterplot 74C.odem;74;-2.5;1.5;0.5;2.0;0.5;-0.5;-2.5;0.0;0; 8; 6; 9; 6; 4; 0; 5;98.61;4008;1233303 ms
0;jscatterplot 74C.odem;74;-2.5;0.5;2.5;2.0;-0.5;0.5;-1.5;-2.0;0; 6; 10; 9; 4; 6; 2; 1;98.61;4003;1233370 ms
2;jscatterplot 74C.odem;74;0.0;-0.5;0.5;2.0;1.5;-2.5;-1.5;1.5;5; 4; 6; 9; 8; 0; 2; 8;98.61;4005;1241539 ms
7;javaocr 59C.odem;59;0.0;-2.0;2.0;1.5;1.5;1.0;2.0;-1.0;5; 1; 9; 8; 8; 7; 9; 3;87.27;4002;613334 ms
6;javaocr 59C.odem;59;-1.0;0.0;-1.0;1.0;2.0;-2.0;0.5;-2.0;3; 5; 3; 7; 9; 1; 6; 1;85.71;4002;627021 ms
8;javaocr 59C.odem;59;0.5;-1.0;0.5;1.0;1.5;1.5;1.5;0.5;6; 3; 6; 7; 8; 8; 8; 6;92.31;4000;618727 ms
9;javaocr 59C.odem;59;-1.0;-2.0;1.5;0.0;1.0;0.5;-0.5;-1.0;3; 1; 8; 5; 7; 6; 4; 3;92.31;4004;615466 ms
7;servletapi-2.3 63C.odem;63;-1.5;0.5;-1.5;-1.0;-2.0;-0.5;-1.5;-2.5;2; 6; 2; 3; 1; 4; 2; 0;84.75;4004;712583 ms
5;servletapi-2.3 63C.odem;63;-1.0;2.5;-2.5;0.5;-2.5;-2.5;-2.5;-2.5;3; 10; 0; 6; 0; 0; 0; 0;83.93;4009;721009 ms
6;servletapi-2.3 63C.odem;63;1.0;-2.5;0.5;0.0;2.0;2.5;2.0;-0.5;7; 0; 6; 5; 9; 10; 9; 4;83.93;4001;721448 ms
8;servletapi-2.3 63C.odem;63;-2.0;-2.5;-1.0;-2.5;1.5;1.0;1.5;1.0;1; 0; 3; 0; 8; 7; 8; 7;83.93;4007;713446 ms
5;pfcda_base 67C.odem;67;-2.0;2.0;-0.5;-2.0;-1.5;-2.5;1.5;2.0;1; 9; 4; 1; 2; 0; 8; 9;76.56;4005;898097 ms
9;servletapi-2.3 63C.odem;63;0.5;-2.5;1.5;-0.5;2.5;1.0;-1.0;1.0;6; 0; 8; 4; 10; 7; 3; 7;85.96;4007;728406 ms
4;jfluid-1.7.0 82C.odem;82;1.5;-2.5;2.0;0.0;0.5;2.0;1.5;2.0;8; 0; 9; 5; 6; 9; 8; 9;97.5;4001;1615034 ms
