cicle;instance;nclasses;solutionreal;solution;mojo;evalsconsumed;besteval;time;cluster
9;apache_zip 36C.odem;36;[-1.5,1.0,2.5,-0.5,2.0,0.0,];[2, 7, 10, 4, 9, 5];100.0;51;51;2622 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
1;seemp 31C.odem;31;[-2.0,-0.5,-0.5,0.5,-1.0,-0.5,0.0,-1.5,];[1, 4, 4, 6, 3, 4, 5, 2];100.0;167;167;3944 ; [27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 27, 30, 26, 30, 30, 30, 30, 26, 26, 27, 30, 30, 30]
1;apache_zip 36C.odem;36;[-0.5,1.0,-1.5,0.5,-2.0,-1.0,-0.5,-1.5,];[4, 7, 2, 6, 1, 3, 4, 2];100.0;108;108;4228 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
0;apache_zip 36C.odem;36;[1.0,-1.5,0.5,0.5,1.0,0.5,2.5,2.5,];[7, 2, 6, 6, 7, 6, 10, 10];100.0;167;167;3833 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
6;jstl-1.0.6 18C.odem;18;[2.0,0.0,1.0,0.5,];[9, 5, 7, 6];100.0;677;677;5800 ; [10, 10, 10, 10, 10, 10, 9, 9, 10, 9, 10, 11, 14, 14, 14, 17, 17, 17]
9;jstl-1.0.6 18C.odem;18;[1.0,0.0,1.0,0.5,];[7, 5, 7, 6];100.0;18;18;17 ; [10, 10, 10, 10, 10, 10, 9, 9, 10, 9, 10, 11, 14, 14, 14, 17, 17, 17]
8;apache_zip 36C.odem;36;[-1.0,0.5,-2.0,-1.5,];[3, 6, 1, 2];100.0;219;219;8890 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
2;apache_zip 36C.odem;36;[-2.5,2.5,-1.5,-0.5,];[0, 10, 2, 4];100.0;400;400;15134 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
9;apache_zip 36C.odem;36;[0.5,-0.5,-0.5,-2.0,];[6, 4, 4, 1];100.0;28;28;1231 ; [5, 5, 5, 5, 5, 5, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35, 35]
1;notepad-model 46C.odem;46;[-1.5,0.5,1.0,1.0,2.0,1.5,-0.5,-1.5,-0.5,-2.5,];[2, 6, 7, 7, 9, 8, 4, 2, 4, 0];100.0;1;0;3 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
4;notepad-model 46C.odem;46;[2.0,-1.5,1.0,-0.5,-0.5,-0.5,-2.0,1.5,1.5,1.0,];[9, 2, 7, 4, 4, 4, 1, 8, 8, 7];100.0;1;0;3 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
5;notepad-model 46C.odem;46;[2.5,-2.5,-1.0,0.0,-1.5,0.0,2.5,2.0,-2.5,-2.0,];[10, 0, 3, 5, 2, 5, 10, 9, 0, 1];100.0;1;0;3 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
6;notepad-model 46C.odem;46;[1.5,2.5,1.0,0.5,0.0,2.5,0.0,0.0,2.5,1.0,];[8, 10, 7, 6, 5, 10, 5, 5, 10, 7];100.0;1;0;3 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
7;notepad-model 46C.odem;46;[0.0,2.5,1.5,0.5,1.0,2.0,0.0,-2.0,2.5,-1.5,];[5, 10, 8, 6, 7, 9, 5, 1, 10, 2];100.0;1;0;2 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
8;notepad-model 46C.odem;46;[1.5,-2.5,-1.0,0.5,-2.5,-1.0,2.5,2.0,2.5,2.5,];[8, 0, 3, 6, 0, 3, 10, 9, 10, 10];100.0;1;0;3 ; [44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 44, 45]
