projectName;intDep;extDep;intDepClas;extDepClas;extclasDep
xmlapi184C.odem;73;5;54;3;0
xmlapi184C.odem;2;3;2;1;0
xmlapi184C.odem;4;2;4;2;4
xmlapi184C.odem;5;7;3;4;0
xmlapi184C.odem;2;0;2;0;3
xmlapi184C.odem;39;0;12;0;21
xmlapi184C.odem;0;2;0;2;2
xmlapi184C.odem;15;61;8;11;1
xmldom119C.odem;0;0;0;0;0
xmldom119C.odem;44;0;17;0;25
xmldom119C.odem;29;19;19;14;0
xmldom119C.odem;10;4;7;4;0
xmldom119C.odem;73;5;54;3;0
xmldom119C.odem;2;3;2;1;0
xmldom119C.odem;4;2;4;2;4
xmldom119C.odem;5;7;3;4;0
xmldom119C.odem;2;0;2;0;3
