version	package	cbo	aff	eff	lcom	mf	cs
7.1.0	ch.randelshofer.quaqua.osx	4	2	8	NaN	0.0	0
7.1.0	ch.randelshofer.quaqua.panther	5	0	27	0.9521276595744681	0.7297297297297297	-996
7.1.0	ch.randelshofer.quaqua.panther.filechooser	5	4	16	0.8571428571428571	0.5842696629213483	-59
7.1.0	ch.randelshofer.quaqua.subset	2	0	6	0.8333333333333334	0.6666666666666666	-24
7.1.0	ch.randelshofer.quaqua.tiger	2	0	5	0.8333333333333334	0.2222222222222222	-2
7.1.0	ch.randelshofer.quaqua.tiger.filechooser	1	0	1	-0.0	0.8	1
7.1.0	ch.randelshofer.quaqua.util	3	112	9	0.9822775263951734	0.3081967213114754	-1260
7.1.0	net.n3.nanoxml	0	2	0	0.8916666666666667	0.935251798561151	-174
7.1.0	net.roydesign.app	1	1	1	0.7619047619047619	0.6666666666666666	-9
7.1.0	net.roydesign.event	0	3	0	NaN	0.0	0
7.1.0	net.roydesign.io	1	1	1	0.6666666666666666	0.5	-1
7.1.0	net.roydesign.mac	1	18	1	0.8833333333333333	0.8376068376068376	-136
7.1.0	net.roydesign.ui	2	0	2	0.9238095238095239	0.7804878048780488	-81
7.1.0	org.jhotdraw.app	7	59	37	0.8804347826086957	0.4631578947368421	-174
7.1.0	org.jhotdraw.app.action	6	6	14	0.9798733604703754	0.44168734491315137	-2101
7.1.0	org.jhotdraw.beans	0	23	0	NaN	0.0	0
7.1.0	org.jhotdraw.draw	11	69	45	0.9722650231124808	0.7748878923766817	-14012
7.1.0	org.jhotdraw.draw.action	7	4	33	0.9732394366197183	0.49812734082397003	-2301
7.1.0	org.jhotdraw.geom	0	54	0	0.8791208791208791	0.3235294117647059	-57
7.1.0	org.jhotdraw.gui	3	35	5	0.8970588235294118	0.5714285714285714	-106
7.1.0	org.jhotdraw.gui.datatransfer	1	4	1	0.9166666666666666	0.2857142857142857	-4
7.1.0	org.jhotdraw.gui.event	1	21	1	0.5	0.05555555555555555	1
7.1.0	org.jhotdraw.io	0	9	0	0.6666666666666666	0.47058823529411764	-2
7.1.0	org.jhotdraw.samples.draw	8	0	68	0.7857142857142857	0.15254237288135594	-9
7.1.0	org.jhotdraw.samples.svg	1	0	4	0.5833333333333334	0.6666666666666666	0
7.1.0	org.jhotdraw.undo	1	15	1	0.65	0.42424242424242425	-2
7.1.0	org.jhotdraw.util	0	114	0	0.95	0.01639344262295082	-8
7.1.0	org.jhotdraw.util.prefs	0	3	0	0.65	0.8235294117647058	-2
7.1.0	org.jhotdraw.xml	1	22	7	0.8035714285714286	0.29333333333333333	-6
7.2.0	net.n3.nanoxml	0	2	0	0.8916666666666667	0.935251798561151	-174
7.2.0	org.apache.batik.ext.awt	1	2	1	0.4666666666666667	0.7804878048780488	13
7.2.0	org.apache.batik.ext.awt.image	0	1	0	NaN	0.0	0
7.2.0	org.jhotdraw.app	0	4	0	NaN	0.0	0
7.2.0	org.jhotdraw.app.action	2	3	2	0.9642857142857143	0.14814814814814814	-26
7.2.0	org.jhotdraw.beans	0	21	0	NaN	0.0	0
7.2.0	org.jhotdraw.draw	11	75	46	0.9732297063903281	0.786053882725832	-16732
7.2.0	org.jhotdraw.draw.action	7	3	38	0.9747747747747748	0.4878048780487805	-2575
7.2.0	org.jhotdraw.geom	0	56	0	0.8681318681318682	0.3221476510067114	-53
7.2.0	org.jhotdraw.gui	4	13	10	0.8194444444444444	0.5	-22
7.2.0	org.jhotdraw.gui.datatransfer	1	4	1	0.9166666666666666	0.2857142857142857	-4
7.2.0	org.jhotdraw.gui.fontchooser	1	4	1	0.7380952380952381	0.6111111111111112	-5
7.2.0	org.jhotdraw.gui.plaf	0	2	0	NaN	0.0	0
7.2.0	org.jhotdraw.gui.plaf.palette	5	1	11	0.8653846153846154	0.7	-44
7.2.0	org.jhotdraw.io	0	5	0	0.6666666666666666	0.6153846153846154	-2
7.2.0	org.jhotdraw.samples.draw	7	0	71	0.7142857142857143	0.2302158273381295	-4
7.2.0	org.jhotdraw.samples.svg	2	0	5	0.5833333333333334	0.625	0
7.2.0	org.jhotdraw.undo	1	8	1	0.65	0.5384615384615384	-2
7.2.0	org.jhotdraw.util	0	94	0	0.95	0.020202020202020204	-8
7.2.0	org.jhotdraw.xml	1	25	7	0.7380952380952381	0.2619047619047619	1
7.3.0	ch.randelshofer.quaqua	8	91	41	0.9913884113051609	0.8025298664792692	-32333
7.3.0	ch.randelshofer.quaqua.border	2	25	4	0.946969696969697	0.25925925925925924	-58
7.3.0	ch.randelshofer.quaqua.color	2	29	2	0.9047619047619048	0.1509433962264151	-15
7.3.0	ch.randelshofer.quaqua.colorchooser	1	2	3	0.9753086419753086	0.9507246376811594	-3091
7.3.0	ch.randelshofer.quaqua.datatransfer	0	1	0	0.8	0.8	-2
7.3.0	ch.randelshofer.quaqua.ext.base64	0	3	0	0.3333333333333333	0.7272727272727273	1
7.3.0	ch.randelshofer.quaqua.ext.batik.ext.awt	1	2	1	0.8333333333333334	0.9361702127659575	-28
7.3.0	ch.randelshofer.quaqua.ext.batik.ext.awt.image	3	10	10	0.906896551724138	0.8901098901098901	-325
7.3.0	ch.randelshofer.quaqua.ext.batik.ext.awt.image.codec.tiff	2	3	5	0.7857142857142857	0.5625	-3
7.3.0	ch.randelshofer.quaqua.ext.batik.ext.awt.image.codec.util	1	7	1	0.75	0.6363636363636364	-6
7.3.0	ch.randelshofer.quaqua.ext.batik.ext.awt.image.renderable	0	1	0	NaN	0.0	0
7.3.0	ch.randelshofer.quaqua.ext.batik.ext.awt.image.rendered	2	2	7	0.895	0.8181818181818182	-190
7.3.0	ch.randelshofer.quaqua.ext.batik.i18n	0	1	0	0.6666666666666666	0.8	1
7.3.0	ch.randelshofer.quaqua.ext.batik.util	0	6	0	0.7678571428571429	0.7428571428571429	-12
7.3.0	ch.randelshofer.quaqua.ext.nanoxml	0	4	0	0.5	0.2222222222222222	1
7.3.0	ch.randelshofer.quaqua.filechooser	3	43	8	0.895	0.5338983050847458	-206
7.3.0	ch.randelshofer.quaqua.icon	2	1	2	0.9047619047619048	0.42105263157894735	-13
7.3.0	ch.randelshofer.quaqua.jaguar	4	1	19	0.9283333333333333	0.6466165413533834	-252
7.3.0	ch.randelshofer.quaqua.jaguar.filechooser	1	0	1	NaN	0.0	0
