year	author	classes	packages
2002	spestov	18	7
2002	spestov	18	7
2002	svu	1	1
2002	svu	5	3
2002	spestov	2	1
2002	spestov	2	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	11	5
2002	spestov	11	5
2002	spestov	6	2
2002	spestov	6	2
2002	spestov	4	1
2002	spestov	4	1
2002	spestov	2	1
2002	spestov	14	4
2002	spestov	14	4
2002	spestov	3	2
2002	spestov	3	2
2002	akaplan	2	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	2	1
2002	spestov	3	2
2002	spestov	3	2
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	spestov	11	6
2002	spestov	11	6
2002	akaplan	2	1
2002	akaplan	2	1
2002	spestov	7	2
2002	spestov	23	7
2002	spestov	23	7
2002	akaplan	1	1
2002	akaplan	2	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	13	5
2002	spestov	13	5
2002	spestov	3	1
2002	spestov	3	1
2002	akaplan	2	1
2002	akaplan	4	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	3	1
2002	spestov	3	2
2002	spestov	3	2
2002	akaplan	20	2
2002	akaplan	10	1
2002	cyu	1	1
2002	spestov	12	6
2002	spestov	12	6
2002	spestov	2	2
2002	akaplan	1	1
2002	akaplan	1	1
2002	spestov	11	3
2002	spestov	11	3
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	4	1
2002	spestov	4	1
2002	akaplan	2	1
2002	akaplan	2	1
2002	spestov	5	2
2002	spestov	5	2
2002	spestov	6	3
2002	spestov	6	3
2002	spestov	4	2
2002	spestov	4	2
2002	akaplan	2	1
2002	spestov	1	1
2002	spestov	1	1
2002	akaplan	2	1
2002	fruhstuck	2	1
2002	fruhstuck	1	1
2002	akaplan	1	1
2002	anoncvs_pybot	1	1
2002	akaplan	1	1
2002	akaplan	2	1
2002	svu	2	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	2	1
2002	spestov	10	6
2002	spestov	10	6
2002	spestov	8	5
2002	spestov	8	5
2002	spestov	7	4
2002	spestov	7	4
2002	spestov	8	3
2002	spestov	8	3
2002	jgellene	1	1
2002	spestov	10	6
2002	spestov	10	6
2002	spestov	7	3
2002	spestov	7	3
2002	spestov	7	4
2002	spestov	7	4
2002	jgellene	3	1
2002	spestov	4	4
2002	spestov	4	4
2002	spestov	2	2
2002	spestov	2	2
2002	spestov	1	1
2002	spestov	1	1
2002	brik	3	1
2002	spestov	2	2
2002	spestov	2	2
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	4	1
2002	spestov	4	1
2002	spestov	11	3
2002	spestov	11	3
2002	spestov	5	3
2002	spestov	5	3
2002	spestov	3	1
2002	spestov	4	2
2002	spestov	6	4
2002	spestov	6	4
2002	brik	1	1
2002	brik	7	1
2002	spestov	8	4
2002	spestov	8	4
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	4	1
2002	spestov	6	1
2002	spestov	5	1
2002	spestov	1	1
2002	spestov	9	5
2002	spestov	9	5
2002	spestov	4	3
2002	spestov	4	3
2002	spestov	9	4
2002	spestov	9	4
2002	spestov	15	6
2002	spestov	15	6
2002	jgellene	8	4
2002	spestov	12	5
2002	spestov	12	5
2002	spestov	7	4
2002	spestov	7	4
2002	spestov	5	2
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	spestov	7	4
2002	spestov	7	4
2002	spestov	10	3
2002	spestov	8	3
2002	spestov	2	2
2002	spestov	2	2
2002	akaplan	1	1
2002	akaplan	1	1
2002	spestov	8	3
2002	akaplan	1	1
2002	spestov	10	5
2002	spestov	10	5
2002	spestov	1	1
2002	spestov	5	3
2002	spestov	5	3
2002	spestov	6	3
2002	spestov	1	1
2002	spestov	6	3
2002	spestov	6	3
2002	spestov	2	1
2002	spestov	2	1
2002	spestov	3	2
2002	spestov	3	2
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	2	2
2002	spestov	2	2
2002	spestov	2	2
2002	akaplan	3	1
2002	brik	5	1
2002	akaplan	1	1
2002	spestov	1	1
2002	spestov	1	1
2002	akaplan	2	1
2002	spestov	2	2
2002	spestov	2	2
2002	jgellene	6	1
2002	spestov	4	3
2002	spestov	4	3
2002	spestov	1	1
2002	spestov	1	1
2002	svu	2	1
2002	spestov	6	5
2002	spestov	6	5
2002	spestov	2	1
2002	spestov	1	1
2002	spestov	3	1
2002	spestov	1	1
2002	spestov	1	1
2002	spestov	4	2
2002	spestov	4	2
2002	svu	2	2
2002	akaplan	1	1
2002	svu	2	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	akaplan	1	1
2002	sjakob	1	1
