versions	author	classes	packages
4.9.0	dsaff	2	2
4.9.0	dsaff	6	5
4.9.0	alistair.a..israel	6	5
4.9.0	dsaff	7	5
4.9.0	david.saff	3	2
4.9.0	david.saff	2	2
4.9.0	david.saff	1	1
4.9.0	david.saff	8	7
4.9.0	david.saff	1	1
4.9.0	david.saff	10	5
4.9.0	david.saff	6	3
4.9.0	david.saff	12	6
4.9.0	david.saff	6	3
4.9.0	kevin.cooney	35	16
4.9.0	david.saff	7	6
4.9.0	david.saff	5	4
4.9.0	david.saff	1	1
4.9.0	david.saff	1	1
4.9.0	david.saff	1	1
4.9.0	david.saff	1	1
4.9.0	david.saff	1	1
4.9.0	david.saff	1	1
4.9.0	kevin.cooney	1	1
4.9.0	kevin.cooney	13	4
4.9.0	kevin.cooney	14	5
4.9.0	aviv.ben.yosef	79	34
4.9.0	david.saff	15	4
4.9.0	david.saff	5	4
4.9.0	david.saff	5	4
4.9.0	david.saff	1	1
4.9.0	kevin.cooney	19	8
4.9.0	kevin.cooney	4	2
4.9.0	kevin.cooney	19	8
4.9.0	kevin.cooney	3	2
4.9.0	david.saff	13	4
4.9.0	david.saff	13	4
4.9.0	david.saff	14	5
4.9.0	david.saff	10	7
4.9.0	kevin.cooney	15	4
4.9.0	kevin.cooney	1	1
4.9.0	kevin.cooney	20	12
4.9.0	kevin.cooney	1	1
4.9.0	david.saff	1	1
4.9.0	david.saff	16	5
4.9.0	kevin.cooney	27	15
4.9.0	kevin.cooney	1	1
4.9.0	marciomazza	12	3
4.9.0	kevin.cooney	11	3
4.9.0	david.saff	1	1
4.9.0	david.saff	12	3
4.9.0	david.saff	6	5
4.9.0	david.saff	1	1
4.9.0	david.saff	1	1
4.9.0	david.saff	10	7
4.9.0	david.saff	1	1
4.9.0	kevin.cooney	5	5
4.9.0	kevin.cooney	4	4
4.9.0	kevin.cooney	3	3
4.9.0	david.saff	1	1
4.9.0	david.saff	3	3
4.9.0	david.saff	4	4
4.9.0	kevin.cooney	90	38
4.9.0	david.saff	4	4
4.9.0	david.saff	26	14
4.9.0	david.saff	3	3
4.9.0	juan.cortez	2	2
4.9.0	david.saff	1	1
4.9.0	stefan.birkner	1	1
4.9.0	paul.holser	25	10
4.9.0	paul.holser	1	1
4.9.0	stefan.birkner	2	2
4.9.0	stefan.birkner	2	2
4.9.0	stefan.birkner	3	2
4.9.0	stefan.birkner	1	1
4.9.0	stefan.birkner	14	6
4.9.0	stefan.birkner	1	1
4.9.0	stefan.birkner	1	1
4.9.0	stefan.birkner	2	2
4.9.0	stefan.birkner	12	6
4.9.0	rob.dawson	3	2
4.9.0	rob.dawson	2	1
4.9.0	stefan.birkner	5	4
4.9.0	marcos.vin.cius.da.silva	82	35
4.9.0	esko.luontola	2	2
4.9.0	stefan.birkner	1	1
4.9.0	stefan.birkner	1	1
4.9.0	stefan.birkner	1	1
4.9.0	stefan.birkner	2	2
4.9.0	rodolfo.liviero	20	9
4.9.0	stefan.birkner	1	1
4.9.0	stefan.birkner	1	1
4.9.0	stefan.birkner	2	2
4.9.0	esko.luontola	1	1
4.9.0	david.saff	1	1
4.9.0	juan.cortez	1	1
4.10.0	david.saff	1	1
4.10.0	jesse.glick	59	27
4.10.0	jesse.glick	4	4
4.10.0	daniel.rothmaler	2	2
4.10.0	daniel.rothmaler	1	1
4.10.0	daniel.rothmaler	5	3
4.10.0	daniel.rothmaler	1	1
4.10.0	stefan.birkner	8	4
4.10.0	david.saff	3	3
4.10.0	stefan.birkner	1	1
4.10.0	david.saff	2	2
4.10.0	david.saff	18	9
4.10.0	david.saff	20	9
4.10.0	david.saff	16	11
4.10.0	david.saff	1	1
4.10.0	stefan.birkner	4	4
4.10.0	david.saff	1	1
4.10.0	stefan.birkner	1	1
4.10.0	david.saff	5	5
4.10.0	stefan.birkner	8	6
4.10.0	stefan.birkner	5	4
4.10.0	david.saff	5	4
4.10.0	jesse.glick	41	21
4.10.0	jesse.glick	2	2
4.10.0	jesse.glick	1	1
4.10.0	jesse.glick	3	3
4.10.0	stefan.birkner	54	22
4.10.0	david.saff	1	1
4.10.0	david.saff	15	8
4.10.0	matthew.farwell	13	6
4.10.0	stefan.birkner	1	1
4.10.0	stefan.birkner	1	1
4.10.0	stefan.birkner	1	1
4.10.0	fbarber	49	22
4.11.0	david.saff	1	1
4.11.0	david.saff	15	8
4.11.0	fbarber	1	1
4.11.0	david.saff	48	22
4.11.0	marc.philipp	2	2
4.11.0	unknown	2	2
4.11.0	dmitry.vyazelenko	2	2
4.11.0	stefan.birkner	5	5
4.11.0	n.keywal	33	17
4.11.0	stefan.birkner	12	11
4.11.0	david.saff	3	3
4.11.0	arjen.wisse	1	1
4.11.0	unknown	2	2
4.11.0	unknown	1	1
4.11.0	matthew.farwell	21	13
4.11.0	arjen.wisse	1	1
4.11.0	arjen.wisse	1	1
4.11.0	arjen.wisse	3	3
4.11.0	matthew.farwell	14	11
4.11.0	jesse.glick	20	10
4.11.0	jesse.glick	1	1
4.11.0	jesse.glick	1	1
4.11.0	arjen.wisse	4	4
4.11.0	marcos.vin.cius.da.silva	1	1
4.11.0	petter.m.hl.n	40	23
4.11.0	peter.de.maeyer	37	21
4.11.0	peter.de.maeyer	2	2
4.11.0	david.saff	78	34
4.11.0	peter.de.maeyer	1	1
4.11.0	matthew.farwell	20	12
4.11.0	peter.de.maeyer	1	1
4.11.0	david.saff	10	9
4.11.0	david.saff	10	10
4.11.0	stefan.birkner	18	11
4.11.0	stefan.birkner	1	1
4.11.0	david.saff	33	17
4.11.0	stefan.birkner	2	2
4.11.0	stefan.birkner	2	2
4.11.0	matthew.farwell	1	1
4.11.0	stefan.birkner	11	7
4.11.0	marc.philipp	110	32
4.11.0	marc.philipp	1	1
4.11.0	marc.philipp	1	1
4.11.0	aslak.helles.y	30	18
4.11.0	peter.de.maeyer	1	1
4.11.0	peter.de.maeyer	1	1
4.11.0	marc.philipp	1	1
4.11.0	kevin.cooney	63	25
4.11.0	kevin.cooney	64	26
4.11.0	david.saff	14	11
4.11.0	marc.philipp	6	6
4.11.0	marc.philipp	7	6
4.11.0	marc.philipp	3	3
4.11.0	stefan.birkner	1	1
4.11.0	stefan.birkner	1	1
4.11.0	matthew.farwell	4	4
4.11.0	david.saff	8	4
4.11.0	matthew.farwell	6	5
4.11.0	adriannistoruiuc	22	16
4.11.0	juan.cortez	79	31
4.11.0	david.saff	16	9
4.11.0	david.saff	16	10
4.11.0	david.saff	49	22
4.11.0	marc.philipp	3	3
4.11.0	arjen.stolk	2	2
4.11.0	marcos.vin.cius.da.silva	2	2
4.11.0	marcos.vin.cius.da.silva	1	1
4.11.0	marcos.vin.cius.da.silva	1	1
4.11.0	david.saff	63	25
4.11.0	david.saff	63	25
4.11.0	marc.philipp	25	15
4.11.0	marc.philipp	2	2
4.11.0	juan.cortez	79	31
4.11.0	juan.cortez	79	31
4.11.0	petter.m.hl.n	2	2
4.11.0	marc.philipp	5	5
4.11.0	marc.philipp	5	5
4.11.0	andrey.hitrin	2	2
4.11.0	petter.m.hl.n	31	16
4.11.0	david.saff	2	2
4.11.0	david.saff	5	5
4.11.0	aslak.helles.y	1	1
4.11.0	david.saff	28	17
4.11.0	peter.de.maeyer	36	20
4.11.0	unknown	8	7
4.11.0	peter.de.maeyer	1	1
4.11.0	juan.cortez	2	2
4.11.0	marc.philipp	7	7
4.11.0	david.saff	82	35
4.11.0	a	1	1
4.11.0	a	1	1
4.11.0	a	1	1
4.11.0	david.saff	21	15
4.11.0	david.saff	3	3
4.11.0	simon.stewart	3	3
4.11.0	petter.m.hl.n	2	2
4.11.0	kent.r..spillner	1	1
4.11.0	petter.m.hl.n	1	1
4.11.0	simon.stewart	1	1
4.11.0	simon.stewart	1	1
4.11.0	david.saff	1	1
4.11.0	david.saff	13	13
4.11.0	matthew.farwell	1	1
4.11.0	arjenw	5	3
4.11.0	arjenw	4	4
4.11.0	arjenw	8	6
4.11.0	juan.cortez	8	8
4.11.0	juan.cortez	1	1
4.11.0	matthew.farwell	2	2
