versions	package	cbo	aff	eff	lcom	mf	cs
4.11.0	org.junit.experimental.theories	5	5	9	0.8571428571428571	0.5652173913043478	-51
4.11.0	org.junit.experimental.theories.internal	2	4	9	0.7	0.36363636363636365	-2
4.11.0	org.junit.experimental.theories.suppliers	1	0	4	-0.0	0.5	1
4.11.0	org.junit.internal	4	20	7	0.9181818181818182	0.35294117647058826	-41
4.11.0	org.junit.internal.builders	7	3	11	0.875	0.34146341463414637	-14
4.11.0	org.junit.internal.matchers	1	2	1	1.0	0.0	-6
4.11.0	org.junit.internal.requests	4	2	8	1.0	0.0	-6
4.11.0	org.junit.internal.runners	8	9	27	0.9093567251461988	0.45925925925925926	-123
4.11.0	org.junit.internal.runners.model	4	4	5	1.0	0.0	-3
4.11.0	org.junit.internal.runners.rules	3	2	6	NaN	0.0	0
4.11.0	org.junit.internal.runners.statements	2	3	4	0.9523809523809523	0.16	-19
4.11.0	org.junit.matchers	1	1	1	1.0	0.0	-1
4.11.0	org.junit.rules	7	3	10	0.9342105263157895	0.5102040816326531	-152
4.11.0	org.junit.runner	10	68	18	0.8333333333333334	0.29714285714285715	-36
4.11.0	org.junit.runner.manipulation	1	11	1	0.8333333333333334	0.46153846153846156	-27
4.11.0	org.junit.runner.notification	1	28	2	0.7564102564102564	0.5757575757575758	-18
4.11.0	org.junit.runners	12	11	41	0.9117647058823529	0.3582089552238806	-106
4.11.0	org.junit.runners.model	5	59	8	0.9181818181818182	0.14285714285714285	-39
