year	author	classes	packages
2012	nicolas.a..b.rard.nault	316	61
2012	nicolas.a..b.rard.nault	1	1
2012	nicolas.a..b.rard.nault	1	1
2012	davidhart82	64	12
2012	davidhart82	1	1
2012	davidhart82	2	2
2012	nicolas.a..b.rard.nault	1	1
2012	mark.michaelis	63	24
2012	mark.michaelis	1	1
2012	marc.philipp	73	17
2012	marc.philipp	1	1
2012	marc.philipp	1	1
2012	marc.philipp	1	1
2012	marc.philipp	1	1
2012	marc.philipp	2	1
2012	marc.philipp	10	8
2012	david.hart	1	1
2012	david.saff	61	10
2012	marc.philipp	1	1
2012	marc.philipp	1	1
2012	marc.philipp	1	1
2012	marc.philipp	2	1
2012	marc.philipp	4	4
2012	marc.philipp	2	2
2012	marc.philipp	3	2
2012	marc.philipp	3	1
2012	marc.philipp	1	1
2012	marc.philipp	1	1
2012	david.saff	63	12
2012	petter.m.hl.n	1	1
2012	petter.m.hl.n	5	5
2012	david.saff	63	12
2012	david.saff	5	5
2012	david.saff	107	26
2012	marc.philipp	1	1
2012	petter.m.hl.n	1	1
2012	petter.m.hl.n	1	1
2012	arjan.wulder	2	2
2012	arjan.wulder	2	2
2012	arjan.wulder	2	2
2012	arjan.wulder	3	2
2012	petter.m.hl.n	1	1
2012	david.saff	54	18
2012	jeremy.herault	5	4
2012	jeremy.herault	1	1
2012	arjan.wulder	2	2
2012	jeremy.herault	1	1
2012	jeremy.herault	1	1
2012	jeremy.herault	1	1
2012	arjan.wulder	2	2
2012	jeremy.herault	1	1
2012	david.saff	2	2
2012	matthew.farwell	4	3
2012	marc.philipp	6	5
2012	marc.philipp	5	4
2012	mark.michaelis	62	23
2012	mark.michaelis	1	1
2012	david.saff	4	3
2012	david.saff	5	4
2012	david.saff	6	5
2012	jesse.glick	12	7
2012	jesse.glick	2	2
2012	jesse.glick	1	1
2012	jesse.glick	1	1
2012	jesse.glick	1	1
2012	jesse.glick	1	1
2012	arjan.wulder	2	1
2012	arjan.wulder	10	6
2012	arup.malakar	4	1
2012	arup.malakar	4	1
2012	arup.malakar	1	1
2012	tibor.digana	8	4
2012	tibor.digana	7	4
2012	tibor.digana	1	1
2012	tibor.digana	1	1
2012	tibor.digana	1	1
2012	tibor.digana	1	1
2012	tibor.digana	2	2
2012	tibor.digana	1	1
2012	tibor.digana	1	1
2012	tibor.digana	1	1
2012	tibor.digana	1	1
2012	tibor.digana	2	2
2012	david.saff	1	1
2012	david.saff	6	3
2012	david.saff	7	4
2012	tibor.digana	1	1
2012	kevin.cooney	305	61
2012	kevin.cooney	305	61
2012	mark.michaelis	305	61
2012	mark.michaelis	1	1
2012	david.saff	10	5
2012	david.saff	10	6
2012	arjan.wulder	305	61
2012	nicolas.a..b.rard.nault	1	1
2012	marc.philipp	1	1
2012	sschroevers	16	9
2012	david.saff	305	61
2012	sschroevers	1	1
2012	marc.philipp	1	1
2012	tibor.digana	1	1
2012	david.saff	1	1
2012	kevin.cooney	305	61
2012	kevin.cooney	5	3
2012	kevin.cooney	2	1
2012	mark.michaelis	1	1
2012	mark.michaelis	305	61
2012	mark.michaelis	2	2
2012	david.saff	5	3
2012	tibor.digana	11	8
2012	corey.vaillancourt	2	2
2012	nicolas.a..b.rard.nault	313	60
2012	corey.vaillancourt	1	1
2012	corey.vaillancourt	2	2
2012	corey.vaillancourt	1	1
2012	corey.vaillancourt	1	1
2012	corey.vaillancourt	1	1
2012	tibor.digana	5	3
2012	tibor.digana	3	3
2012	corey.vaillancourt	1	1
2012	corey.vaillancourt	1	1
2012	marc.philipp	8	6
2012	corey.vaillancourt	4	3
2012	tibor.digana	2	2
2012	tibor.digana	2	2
2012	arie.van.deursen	17	12
2012	david.saff	2	2
2012	david.saff	3	3
2012	tibor.digana	19	14
2012	david.saff	13	6
2012	corey.vaillancourt	1	1
2012	corey.vaillancourt	1	1
2012	corey.vaillancourt	1	1
2012	david.saff	8	6
2012	tibor.digana	2	2
2012	tibor.digana	1	1
2012	tibor.digana	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	arie.van.deursen	1	1
2012	tibor.digana	5	5
2012	tibor.digana	2	2
2012	matthew.farwell	1	1
2012	tibor.digana	2	2
2012	tibor.digana	1	1
2012	tibor.digana	5	3
2012	tibor.digana	1	1
2012	tibor.digana	1	1
2012	tibor.digana	2	2
2012	tibor.digana	1	1
2012	tibor.digana	1	1
2012	david.saff	10	7
2012	nicolas.a..b.rard.nault	2	2
2012	david.saff	2	2
